531,Epoch 100,Epoch 100,Epoch 200,Epoch 300,Transformer Encoder,LSTM
1,-0.010771394,0.188323917,-0.017641664,-0.331083655,-0.550689459,-3.936056137
2,0.03451544,0.376647834,0.017339051,-0.300666809,-0.224771976,-0.179480076
3,0.048619211,0.564971751,0.053879976,-0.10968256,-0.176066041,0.065961182
4,0.067268729,0.753295669,0.056011498,-0.057297587,-0.087758303,0.089715302
5,0.071487069,0.941619586,0.056608021,-0.046501756,0.082799733,0.113673389
6,0.084367275,1.129943503,0.064069331,-0.043918252,0.096084297,0.11606878
7,0.098116279,1.31826742,0.071169555,-0.014045119,0.099438548,0.123276234
8,0.118766844,1.506591337,0.072619259,0.001021802,0.110510826,0.148452103
9,0.121698856,1.694915254,0.089253604,0.01343888,0.13136369,0.185734868
10,0.1224069,1.883239171,0.099150181,0.030830324,0.14295423,0.190271854
11,0.129500866,2.071563089,0.101483405,0.033147633,0.146859825,0.210113585
12,0.133100927,2.259887006,0.112011909,0.039290488,0.170648813,0.237795293
13,0.140257835,2.448210923,0.122256398,0.045131743,0.180092335,0.239028335
14,0.143921137,2.63653484,0.123356879,0.053081334,0.182070017,0.265137017
15,0.146049321,2.824858757,0.12690556,0.057589412,0.208985567,0.290855706
16,0.156995177,3.013182674,0.129318237,0.06608516,0.256293833,0.299356163
17,0.158549428,3.201506591,0.131191671,0.06655252,0.265597045,0.311517835
18,0.161416709,3.389830508,0.133450329,0.068188131,0.27397424,0.315790057
19,0.166175365,3.578154426,0.134075165,0.06912446,0.277230024,0.320134401
20,0.170085609,3.766478343,0.143901825,0.073856175,0.279582143,0.328334928
21,0.171317756,3.95480226,0.145995855,0.079414725,0.293457627,0.328453064
22,0.179419398,4.143126177,0.14630574,0.082033455,0.303485096,0.329893351
23,0.180112362,4.331450094,0.158960462,0.082574964,0.311805844,0.330138743
24,0.18081069,4.519774011,0.1600191,0.087552786,0.329508901,0.35766077
25,0.18385303,4.708097928,0.162863016,0.091091037,0.333646715,0.362908363
26,0.183987021,4.896421846,0.166403413,0.112411261,0.337829053,0.364092231
27,0.184907079,5.084745763,0.170167327,0.116409659,0.352763832,0.379206657
28,0.185432494,5.27306968,0.173425734,0.11771971,0.361037552,0.380997896
29,0.186406314,5.461393597,0.17623508,0.119423568,0.364457071,0.383229136
30,0.18986851,5.649717514,0.176685989,0.134524047,0.372938275,0.38521415
31,0.192878127,5.838041431,0.177130044,0.135614872,0.377375543,0.385758996
32,0.196160436,6.026365348,0.177930415,0.139804363,0.381755888,0.389610589
33,0.197295845,6.214689266,0.182796538,0.143635988,0.381999969,0.391550541
34,0.202227771,6.403013183,0.185759008,0.147142589,0.396580935,0.394664884
35,0.204811633,6.5913371,0.187449872,0.153966844,0.400436401,0.394904792
36,0.206635237,6.779661017,0.187696397,0.158825338,0.400462925,0.396605551
37,0.217337489,6.967984934,0.189379632,0.15906328,0.402906775,0.398060501
38,0.219520271,7.156308851,0.190302253,0.159445703,0.406906247,0.399242997
39,0.221849561,7.344632768,0.192716181,0.159541905,0.407250643,0.411834419
