531,,100seq-100,LSTM,Transformer Encoder,Full Transformer
1,,-0.049656868,-3.936056137,-0.550689459,0.188323917
2,,0.014732003,-0.179480076,-0.224771976,0.376647834
3,,0.024021685,0.065961182,-0.176066041,0.564971751
4,,0.03649497,0.089715302,-0.087758303,0.753295669
5,,0.052679658,0.113673389,0.082799733,0.941619586
6,,0.054341435,0.11606878,0.096084297,1.129943503
7,,0.060307145,0.123276234,0.099438548,1.31826742
8,,0.065146029,0.148452103,0.110510826,1.506591337
9,,0.073321819,0.185734868,0.13136369,1.694915254
10,,0.079615057,0.190271854,0.14295423,1.883239171
11,,0.099749684,0.210113585,0.146859825,2.071563089
12,,0.103756607,0.237795293,0.170648813,2.259887006
13,,0.10889411,0.239028335,0.180092335,2.448210923
14,,0.111465752,0.265137017,0.182070017,2.63653484
15,,0.114887595,0.290855706,0.208985567,2.824858757
16,,0.115389884,0.299356163,0.256293833,3.013182674
17,,0.116541028,0.311517835,0.265597045,3.201506591
18,,0.122446477,0.315790057,0.27397424,3.389830508
19,,0.12662679,0.320134401,0.277230024,3.578154426
20,,0.131485343,0.328334928,0.279582143,3.766478343
21,,0.132958889,0.328453064,0.293457627,3.95480226
22,,0.136553228,0.329893351,0.303485096,4.143126177
23,,0.136873484,0.330138743,0.311805844,4.331450094
24,,0.142305315,0.35766077,0.329508901,4.519774011
25,,0.142567933,0.362908363,0.333646715,4.708097928
26,,0.142844319,0.364092231,0.337829053,4.896421846
27,,0.146022677,0.379206657,0.352763832,5.084745763
28,,0.150338888,0.380997896,0.361037552,5.27306968
29,,0.150563538,0.383229136,0.364457071,5.461393597
30,,0.153205693,0.38521415,0.372938275,5.649717514
31,,0.156068802,0.385758996,0.377375543,5.838041431
32,,0.156133056,0.389610589,0.381755888,6.026365348
33,,0.158925056,0.391550541,0.381999969,6.214689266
34,,0.161779881,0.394664884,0.396580935,6.403013183
35,,0.162655771,0.394904792,0.400436401,6.5913371
36,,0.169295549,0.396605551,0.400462925,6.779661017
37,,0.173734069,0.398060501,0.402906775,6.967984934
38,,0.181382,0.399242997,0.406906247,7.156308851
39,,0.186732531,0.411834419,0.407250643,7.344632768
40,,0.189405739,0.414577901,0.414321125,7.532956685
41,,0.189472079,0.418297589,0.414868712,7.721280603
42,,0.191511214,0.418449342,0.420814037,7.90960452
43,,0.193180263,0.424270988,0.423303187,8.097928437
44,,0.198054969,0.429832995,0.423817098,8.286252354
45,,0.199726582,0.431918263,0.423821151,8.474576271
46,,0.201463044,0.433043659,0.426255882,8.662900188
47,,0.203674853,0.447982609,0.426326931,8.851224105
48,,0.204777241,0.450082302,0.42799598,9.039548023
49,,0.2106148,0.453907192,0.428731978,9.22787194
50,,0.211161613,0.454567432,0.442932367,9.416195857
51,,0.219799757,0.460021555,0.444336355,9.604519774
52,,0.221098185,0.461952507,0.446798921,9.792843691
53,,0.221490324,0.461987913,0.449344873,9.981167608
54,,0.222736597,0.472273409,0.45002991,10.16949153
55,,0.223308206,0.473450959,0.460706055,10.35781544
56,,0.227665126,0.479430974,0.462987125,10.54613936
57,,0.228192568,0.479815602,0.46320492,10.73446328
58,,0.231448412,0.480743885,0.46789366,10.92278719
59,,0.234608293,0.485285044,0.46865803,11.11111111
60,,0.238039255,0.486993313,0.470094502,11.29943503
61,,0.243782401,0.48741442,0.471773148,11.48775895
62,,0.244593322,0.489817083,0.474443793,11.67608286
63,,0.245146871,0.494362056,0.476649225,11.86440678
64,,0.245297611,0.494818807,0.479845524,12.0527307
65,,0.246765196,0.495132804,0.483053327,12.24105461
66,,0.247440636,0.495874107,0.48366189,12.42937853
67,,0.25078702,0.496509731,0.485310078,12.61770245
68,,0.25246942,0.501123786,0.486758113,12.80602637
69,,0.254747212,0.504873842,0.492272854,12.99435028
70,,0.255850792,0.513397962,0.49259907,13.1826742
71,,0.26198262,0.51528874,0.49516809,13.37099812
72,,0.265026331,0.515626818,0.503175586,13.55932203
73,,0.270343065,0.516193062,0.504471183,13.74764595
74,,0.27124691,0.516586095,0.506721675,13.93596987
75,,0.272171497,0.51859495,0.507744461,14.12429379
76,,0.275995195,0.520032585,0.509988219,14.3126177
77,,0.282431126,0.521946907,0.511558384,14.50094162
78,,0.282861054,0.526634097,0.514665961,14.68926554
79,,0.284435153,0.526734024,0.515341938,14.87758945
80,,0.285850883,0.52824527,0.51808098,15.06591337
81,,0.286357224,0.530394375,0.519028217,15.25423729
82,,0.286563098,0.530680805,0.519990325,15.44256121
83,,0.287525415,0.531584263,0.520987809,15.63088512
84,,0.287863374,0.531988174,0.529122829,15.81920904
85,,0.288540781,0.532381684,0.529856384,16.00753296
86,,0.28922224,0.534363508,0.531074286,16.19585687
87,,0.289420307,0.534925401,0.531930059,16.38418079
88,,0.290893495,0.536744028,0.532839209,16.57250471
89,,0.29179424,0.536973238,0.537157655,16.76082863
90,,0.292094469,0.538712591,0.538111091,16.94915254
91,,0.292097151,0.539011449,0.538829327,17.13747646
92,,0.292260706,0.541481555,0.545523494,17.32580038
93,,0.29303503,0.542893171,0.546397895,17.51412429
94,,0.293498755,0.543392837,0.552469343,17.70244821
95,,0.294281363,0.543819815,0.558794618,17.89077213
96,,0.294799984,0.545260608,0.559370011,18.07909605
